"LAT","LONG","n_samples","POP_ID","cold_wet","hot_dry","intermediate"
-16.281528,36.443778,2,1,2,0,0
-16.07767398,35.06446498,1,2,1,0,0
-16,35.0638,1,3,1,0,0
-15.14475,39.28822222,1,4,1,0,0
-9.99418,39.38803,2,5,0,2,0
-9.168889,37.034722,2,6,1,1,0
-8.965944444,36.68830556,1,7,1,0,0
-8.39521,35.9824,1,8,0,0,1
-8.39463,35.98376,1,9,0,0,1
-8.34888,36.2277,2,10,2,0,0
-8.311798,36.091327,2,11,2,0,0
-7.96261,39.71429,1,12,0,0,1
-7.94835,39.04373,2,13,0,2,0
-7.849772,39.802533,1,14,0,1,0
-7.84898,39.79531,1,15,0,0,1
-7.179167,37.8375,2,16,1,1,0
-6.99365,39.29749,1,17,0,1,0
-6.942528,39.053472,1,18,0,1,0
-6.901083,38.762167,1,19,0,1,0
-6.895222,38.8125,1,20,0,1,0
-6.786671,39.275736,1,21,0,1,0
-6.71349,38.97007,2,22,0,2,0
-6.13694,38.60755,1,23,0,0,1
-6.030439,37.524769,1,24,0,1,0
-5.479166667,37.49361111,1,25,0,0,1
-5.03361,38.92436,2,26,0,0,2
-4.923056,38.732778,1,27,0,0,1
-4.904444,38.6625,2,28,0,0,2
-4.375216667,39.42546667,1,29,0,0,1
-4.27553,39.43096,1,30,0,0,1
-4.25,39.35,1,31,0,0,1
-4.2375,39.39563889,2,32,0,0,2
